Content,Rate
Des sandwichs naan super bons et légers ,4
Accueil  chaleureux  personnel attentionné tres bonne cuisine   à revisiter avec plaisir!!!,4.6
J'ai bien aimé ,4
Trop bonnes variétés tunisiennes dans un cadre très convivial ,5
"Nourriture Top, Service aussi ❤ Je donne les 5 étoiles  + une autre pour le choix de la musique . Bonne continuation",5
"Trop de mouche aman 😭 et espace fumeur pas assez climatisé comparant à l'espace non-fumeur 🙄
Sinon l'une des plus généreuses cafés sur Tunis ☕",4
Service rapide mais la bouffe n'est pas au top ! ,3.4
Les pizzas sont hyper bonnes et les pâtes sont supers !! Ambiance très causy et un bon rapport qualité prix . The best pizzas dans le banlieue sud for me,3.8
Beurk  à éviter ,1
"Accueil très chaleureux !
On a commandé le ""Fresh Summer"" et le ""Ice Biscus"" et on nous a offert le ""Aphrodite"". Les cocktails et café étaient très bons. Atmosphère très cozy. ",4.8
Un très bon Petit déjeuner ,4.6
"Top, service qualité choix au menu est exceptionnel !",5
"La meilleure salon de thé à Bardo, vue magnifique, bine climatisée, décor moderne et les plats sont délicieux. Cependant, il n'y a pas d'espace non fumeur donc ça devient encombrée avec la chicha et les cigarettes. ",4.2
La bière est à 5dt et non pas 4.5dt ,4.2
"Les pizzas sont assez correctes, étant connaisseur de pizzas , bon rendement par rapport à la qualité de la farine , qui en Tunisie et grand exportateur de blés la qualité est moyenne. Sinon un petit rafraîchissement du restaurant serai cool.",3.2
La qualité est moyenne par rapport à l’attente de sa réputation. Par contre l’hygiène est à revoir . ,2.4
Très belle endroit ,4.6
bravo et bonne continuation gt jamais déçue l acceuil est chaleureux le service est rapide toute l'equipe est polie sans exception l ambiantion est au top !,5
"Bonne ambiance & bonne musique. Seul bémol trop d'encombrement et pas assez de places. Un grand bravo a ""Karim"" le bar men ...",3.6
"Excellent endroit pour faire la fête , acceuil chaleureux bon service bonne continuation",4.2
"Un hamburger fade sans gout et pain hacha na3met rabi. Et le comble c'est l'acceuil de M gonflette a la caisse : je regardais le menu on passe commande il ne nous regarde meme pad, plutot son telephone, nous informe, toujours en regardant son tel qu' il y a que 2 choix parmi ce qui est mentionné je dois donc choisir de nouveau. Meme pas 30 secondes je demande deux burger cheese, il prenait une commande d'une autre cliente venue après nous que j'ai pas vu. M'arrête et me dis ""stana nkamel"" d'un air hautain !  Le point de ennasr est de loin meilleur franchement ",0
Sympathique mais trop d'encombrement,4
Conseillé pour un afterwork,4
"Un endroit calme , pour un afterwork ou sortie en couple.. on a bien aimé",4.6
;) pour des amis,5
"Une très bonne ambiance, proche de tous, des prix abordables ( Celtia : 4dt ) 
A visiter",4.2
Amour de la cuisine italienne par excellence ,4
Très chouette et bon emplacement... ,3.8
cétais une magnifique expérience j'ai aimée les plats ils sont super super délicieux ,3.8
" les repas sont plus que parfait pour un semi gastro , plats servis généreux, soignés et gouteux.
Pizza au feu de bois superbe.
service impeccable. ",5
Doodle a bien changé depuis le temps. Il y a plus ce gout ni l'envie qui avait avant. Derniere visite en juin 2019.. Très déçu ! ,2.4
Un délice❣️,5
"Un bon emplacement sur la plage, sinon ambiance normal, la bière a 6dt, un plat de patate a 10 XD
Donc, mieux vaut boire et rentrer, sinon, pas mal",3.2
"Le rocher un endroit ayant une vue magnifique,  un personnel accueillant sauf que el k3ada côté bar à l intérieur n est trop confortable sincèrement ainsi le menu qui est maigre , sinon tt le reste c top ",3.6
"Super bonne ambiance
Serveurs au ptits soins
Très belle présentation
Bien fréquenté
",4.8
"Plats goûteux
Bémols: endroit étriqué
Pas de fritures ",4.2
"Zero partout, gérant impoli, pour les agents de sécurité se sont que des bandits, et pour le service aussi zero trop cher pour un endroit pourri, je vous conseille de ne pas y aller ",1
"0 partout, gérant impoli, services mediocre, trop cher pour un endroit pourri, pour les agents de sécurité se sont que des bandits, je vous conseille de ne pas y aller. ",1
"Accueil terrible, portiers impolis, service nul, ils demandent une réservation mais toujours impossible de les joindre ",1.8
"Cadre agréable, les serveurs sont accueillants et à l'écoute cependant on a commandé une tagliatelle au poulet c'était topissime juste jeni morceau fih des os w je n'ai pas trop apprécié, l'entrecôte etait tout aussi bonne ama fiha cha7met qui posait problème hassilou al cadre yekhou 4,5/5, al service 5/5, al rapport qualité prix 3/5 w al gout 4/5 je le recommande !",4.2
Ideale pour les couples et les groupes,4.2
"Sympa , ambiance , musique 
C est bon local pour les défoulement",4.2
"J'aime beaucoup, le service est superbe, l'ambiance est calme, et tout est délicieux",4.8
"Un restaurant magnifique 
",4
Très bien ,5
Un excellent endroit ,4.8
"Bon accueil et personnel attentif, cuisine passable ambiance détendue ",4
Qualité médiocre et quantité pas généreuse ,2.4
Les portiers demandent toujours de l'argent pour entrer 20d 30d enti wel wjouh  loin des cameras a l'entrée c'est catastrophique un endroit a déconseiller avec réservation ou sans  tu dois payer  ,1
Un coin calme une bonne bouffe. Et ambiance décontracté ,3.6
un endroit calme en début de soirée lumière tamisée excellent service rien à dire ! ,4.8
"Un endroit cool pour soirée soft entre amis,le service et bon mais les tapas j'ai pas trop aimé.",3
"Mekla, lieu et service top meme le gerant il est top et très modeste.",5
"Aucun respect pour la clientèle,  les portiers qui veulent de l'argent pour l'entrée,  comme s'ils gardaient les portes du paradis, hhh payer de l'argent à l'extérieur pour pouvoir dépenser mon argent à l'intérieur !!!!!!",1
"JE BOYCOTTE LE JOBI !
Déjà à l’entrée, la chanson était encore et toujours la même: vous n’entrez pas sans réservation.
Après plusieurs négociations, on a réussi à entrer.
Mais ceci n’est rien, en comparaison avec ce qu’on a trouvé (ou plutôt à ce qu’on a pas trouvé) Oui oui, on ne trouve ni de table ni de chaises. Le serveur arrive, nous voit debout: vous vous attendez certainement à ce qu’il nous invite à nous attabler ou même à nous indiquer où nous pouvions trouver des chaises et une table (au moins) et bien non ! Tout ce qu’il lui importait c’est que nous commandions des plats: Oui mais commander des plats et les manger en restant debout c’est pas vraiment ça quoi.
Mes amis lui ont explicitement dit qu’ils voulaient d’abord des chaises, sa réponse était : « habbet plat. »
Le voyant obstiné, ils ont tenté une autre alternative: l’un d’eux a demandé six bières. Rien à faire, le mec ne lâchait pas l’affaire avec ces plats. De fil en aiguille, le ton du serveur est monté et il a commencé à insulter mes amis, carrément ! Je vous épargne cette partie parce que c’est même parti jusqu’au trabrib et il a commencé à nous menacé : « ato nkolkom kifeh »
C’est là que le gérant décide d’intervenir pour « apaiser » les tensions en nous demandant de nous éloigner du carré de ce serveur (parce qu’il est « indomptable » et qu’il était  dangereux de le déranger pendant son service) il nous a alors suggéré d’aller nous mettre au bar vu que nous n’allions  pas manger... En gros, 0 solution à notre problème même de la part du gérant (la seule différence c’est que ce dernier a été poli.)
Du coup, comme vous pouvez le constater, une sortie pour  boire un verre se transforme facilement mais surtout rapidement en un problème. 
Et vous l’aurez bien compris, les instructions du gérant n’ont pas été suivies car nous nous sommes pas dirigé vers le bar mais plutôt vers la sortie. 

Je partage avec vous cette expérience pour que vous sachiez ce qui vous attend au Jobi... et je suis persuadée que plusieurs personnes se sont déjà retrouvées dans une situation pareille (ou du moins qui y ressemble) donc n’hésitez pas à en faire de même, pour que l’équipe  prenne conscience des désagréments causés aux clients.",1
"Je donne mon avis (0) suite a mon expérience a la porte avec la sécurité qui m a parle d une manière tres horrible, irrespectueuse. J ai jamais confronté une personne comme ce portier. Je suis encore horrifié de ce qui c est passé avec ce mec. Si j avais la possibilité j aurais appelé les flics immédiatement..",1
"Une vrai catastrophe, ils ont donné une mauvaise image de la Tunisie
On était 4 personnes et on passant la réservation j'ai insisté que je vais venir avec 2 étrangers
1 pas d'accueil
2 le chef ou je sais pas qui est a la caisse impoli '' yetsoumem 3lina "" comment on a changé de table
3 service très lent
4 trois serveurs près de notre table w enti tnedilhom même pas ijewbouk pour tant mech m3abya
Bref mes invités ont senti très mal
On était très mal a l'aise 5asret blasa
Très mauvaise expérience dans ce resto.
Je déconseille fortement",1.2
Service très lent,2.2
"Coup de cœur 😍 côté bouffe et ambiance juste un peu lent service 😅
",3.6
Chiill bar à vinyle ,4.8
Frite pas cuit plat presque froid très déçu,2.6
Merci nous donner les petits déjeuners et les prix svp !? ,3.8
Excellent service et gastronomie Tunisienne,4.4
"Parfait pour une soirée tranquille avec des amis .

Ambiance et cadre agréable .

Une bonne carte pour manger et un bon service .",4
La bouffe est bonne mais le service est très lent ,3
Excellente bouffe mais le service est trop lent pour les petit dej,3
"Parmis les meilleures lounges, la cuisine et le service sont presque parfaites ainsi que son emplacement facile à trouver. L'ambiance est sympatique 😁👌",4.6
La bouffe est est très délicieuses ,3.4
Un très bel endroit !! ,4.4
"Faut réserver d'avance. Un concept merdique
Portier impoli",2.8
"Tapas excellent mais extrêmement cher
Prix exorbitants
Serveur Ahmed nul et à éviter
Climatisation incohérente et par intermittence
Portier poli
Serveur papa poli et serviable ",3
Magnifique et l'ambiance était très bonne,4.2
 Les portiers sont nuls avec les gens on vient pour s'amuse mais ils peut mieux faire 'à par ça c' très excellent cette place j'adore très tes trs trs trs trs trs ,5
Bon endroit,4
Les tacos sont devenus très moyens et sont servis sans frites. La pâte on dirait des mlawis . C dommage,1.8
"Nul de chez nul 
Tacos à la tunisienne",1.8
"J'aime bien le décor après la rénovation, mais aussi concernant les mecs de sécurité ils sont super insolent voir même arrogant moi personnellement je ne fréquente plus cet endroit à cause de sa ",3.6
"Vraiment le pire.. je suis allé pas mal de fois et en sort avec le meme resultat.. service terrible, les produits mal préparer ou mal présentés, des gens sont pas du tout accueillants.. terrible.",1.2
"Très propre, un bon service surtout ils sont très chaleureux. Les tacos sont très bon bien réalisé franchement j'y reviendrai, 😍❤️",4.2
Un endroit super formidable.. Ambiance top et les serveurs sont cool et bonne humeur,4
Les clientèles parfaits ,3.8
Je dois visiter encore ,5
Pas mal comme endroit,3.2
"Pour les personnes qui n'aiment les gros sons du DJ ou la musique hip hop mais qui adore un petit verre entre collegues ou amis c'est l'endroit parfait . 
Un staff acceuillant , un bon service . La bouffe n'est pas parfaite mais ca passe . 
Pour conclure , The factory est un espace chaleureux , parfait pour un diner de travail , ou pour un petit appero entre amis . Je le recommande . ",4.2
"Pour un endroit aussi plein tout les jours  , c'etait formidable , un bon staff sauf quelques petit gestes qui ne sont pas tres agreable mais boff ca passe  . Le service est un peu lent , mais ca c'etait grace au nombre de clients donc c'est tres acceptable . 
La bouffe baaaah on passe xDD 
La musique wooww! Si vous aimez danser et meme voler la scene bah regalez vous car cet endroit vous donne la meilleurs ambiance jamais vu en tunisie . 
Les Dj's vraiment pro . ",3.4
Je recommande votre petit déjeuner la bouffe est bonne croissant bnine omlette bnina service rapide à très bientôt louzina 😘❤😘❤😘❤,4.4
Service super long pour un vendredi soir. On était servi après une trentaine de minutes. C'est naze et Merdique. J'y retournerai plus,2.4
Les mec de la sécurité sont insolent ,2.6
Idéal pour découvrir la cuisine japonaise. Je le recommande vivement ,4
une belle ambiance avec des prix intéressants,3.6
"C'est inacceptable d'avoir un message de confirmation sur la réservation que j'ai passé dès le matin 
J'ai venu de Tunis (bedhema) nous étions  6 personnes 
3 filles et 3 garçons avec l'âge min de 25 ans et après ils nous disent que mon nom n'étais pas à la liste 
Et j'ai insisté quand j'ai appelé le matin et nous avons discuté sur la consommation (vin + dinner) 
Wlh c'est une réputation humiliante que vous avez pris 
",1
Service rapide ambiance normal Rien de spécial j'ai mangé une pizza végétarienne très délicieuse a 12 et seulement les serveurs sont vraiment sympa et professionnelles,4.2
Cuisine excellente service acceptable prix acceptable aussi ,4.6
Service acceptable bon emplacement pas très chère ,3.8
Prix et services acceptables bon emplacement,3.6
Délicieuse cuisine pas très chère ,4.4
Pas trop chère service acceptable excellent emplacement ,4.4
